order_id;year;timestamp;month;channel;customer_type;customer_or_account_label;account_segment;raw_incoming_message;interpretability;mood_tags;bodily_need_tags;dietary_constraints;requested_quantity;requested_products;season_context;inventory_reference;inventory_pressure;fulfillment_status;substitution_required;pickup_delivery;route_zone;payment_terms;repeat_customer;receipt_base;thomas_internal_note;
MH-2025-01-0006;2025;2025-01-17 18:22;January;shared calendar note;B2B account;Workspace Coffee Mitte;cafe/brunch;Menu planning: can you hold 7.2 kg around dried chanterelle profile for next week? Please include substitution options if Polish shipment is late.;clear;need warmth, sleep disruption;cooling;none stated;7.2 kg;wood ear, dried chanterelle, oyster mushroom;Winter;mature supplier network: wood ear, winter support blend, dried chanterelle;low;fulfilled;no;standing route drop;Wedding;standing account invoice;yes;Winter dried mushroom-miso broth;preserve seasonal sentence for receipt;
MH-2025-01-0007;2025;2025-01-16 11:20;January;standing account email;B2B account;Cafe Sonnenweg;restaurant;Please reduce by 30% this week due to bookings/heat, but keep the same mood profile. Baseline noted as 24.8 kg.;clear;dark season, quiet;cooling;mostly plant-based;24.8 kg;wood ear, dried chanterelle;Winter;standing B2B allocation: wood ear, dried porcini, winter support blend;high;substituted;yes;kitchen drop-off;Schöneberg;bank transfer after delivery;yes;Winter dried mushroom-miso broth;"profile already in account sheet; mark inventory pressure for next week";
MH-2025-01-0008;2025;2025-01-20 19:52;January;standing account email;B2B account;Bistro Neukölln;cafe/brunch;Menu planning: can you hold 21.4 kg around wood ear profile for next week? Please include substitution options if Polish shipment is late.;needs follow-up;low energy, need warmth;light digestion;lactose-free;21.4 kg;wood ear, dried chanterelle;Winter;standing B2B allocation: wood ear, dried chanterelle, oyster mushroom;high;partial;yes;kitchen drop-off;delivery route east;standing account invoice;yes;Winter dried mushroom-miso broth;"profile already in account sheet; offer equivalent texture rather than same species";
MH-2025-01-0009;2025;2025-01-23 08:19;January;webshop note;Private customer;unknown sender;returning customer;Short SMS: need a 2 portions box, feeling quiet, lactose-free. Can pick up in Mitte.;clear;sleep disruption, quiet;easy evening food;lactose-free;2 portions;oyster mushroom, dried porcini, wood ear;Winter;Polish shipment + local cultivated stock: winter support blend, dried chanterelle, dried porcini;high;fulfilled;yes;pickup;Schöneberg;paid via webshop;unknown;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0010;2025;2025-01-20 21:51;January;WhatsApp;Private customer;Marta S.;weekly private rhythm;Hey, same direction as last time if possible, but lighter. Quantity: 0.7 kg.;clear;low energy, dark season;warmth without heaviness;none stated;0.7 kg;winter support blend, oyster mushroom, wood ear;Winter;standing B2B allocation: oyster mushroom, dried porcini, winter support blend;medium;fulfilled;no;delivery;Schöneberg;bank transfer;no;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0011;2025;2025-01-23 10:17;January;email;B2B account;Workspace Coffee Mitte;specialty coffee;Workspace Coffee Mitte: guest feedback strong on the current mix. Add a short seasonal line for the menu card if possible. Quantity 31.1 kg.;clear;sleep disruption, quiet;cooling;mostly plant-based;31.1 kg;dried chanterelle, dried porcini, wood ear;Winter;functional blend stock: wood ear, oyster mushroom, dried porcini;low;fulfilled;no;delivery;pickup at workshop;monthly invoice;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0012;2025;2025-01-19 21:49;January;shared calendar note;B2B account;Friedrichshain Bistro;specialty coffee;Menu planning: can you hold 6.7 kg around dried porcini profile for next week? Please include substitution options if Polish shipment is late.;clear;sleep disruption, low energy;easy evening food;no garlic;6.7 kg;dried chanterelle;Winter;standing B2B allocation: oyster mushroom, wood ear, winter support blend;medium;fulfilled;no;kitchen drop-off;Schöneberg;monthly invoice;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0013;2025;2025-01-13 10:34;January;email;Private customer;Hanna W.;event dinner;Hello, do you have dried chanterelle available? I am cooking for 1 portions. Please no complicated prep.;clear;quiet, sleep disruption;warmth without heaviness;nut allergy;1 portions;winter support blend;Winter;dried stock buffer + fresh rotation: oyster mushroom, dried porcini, dried chanterelle;medium;fulfilled;no;delivery;Kreuzberg;cash on pickup;yes;Winter dried mushroom-miso broth;preserve seasonal sentence for receipt;
MH-2025-01-0014;2025;2025-01-16 21:52;January;webshop note;Private customer;Hanna W.;event dinner;Hello, do you have wood ear available? I am cooking for small box. Pickup after work possible?;clear;quiet, need warmth;grounding;vegan;small box;winter support blend, oyster mushroom;Winter;standing B2B allocation: winter support blend, oyster mushroom, wood ear;low;fulfilled;no;market handoff;Friedrichshain;bank transfer;unknown;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0015;2025;2025-01-17 19:16;January;webshop note;Private customer;Marta S.;event dinner;Hey, same direction as last time if possible, but more grounding. Quantity: medium box.;clear;dark season, need warmth;cooling;mostly plant-based;medium box;winter support blend;Winter;dried stock buffer + fresh rotation: winter support blend, dried chanterelle, oyster mushroom;medium;fulfilled;no;route drop;Charlottenburg;cash on pickup;no;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0016;2025;2025-01-19 12:37;January;webshop note;Private customer;Jonas K.;event dinner;Hi Thomas, can I get small box for tonight? I feel quiet and need something that does not sit too heavy.;mostly clear;need warmth, dark season;cooling;none stated;small box;dried chanterelle;Winter;Polish shipment + local cultivated stock: dried chanterelle, dried porcini, oyster mushroom;low;fulfilled;no;delivery;Schöneberg;paid via webshop;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0017;2025;2025-01-04 17:49;January;webshop note;Private customer;Michael K.;event dinner;Hey, same direction as last time if possible, but more simple. Quantity: small box.;clear;quiet, need warmth;low-stimulation;no onions;small box;oyster mushroom, wood ear, winter support blend;Winter;dried stock buffer + fresh rotation: dried chanterelle, wood ear, dried porcini;medium;substituted;yes;pickup;Prenzlauer Berg;bank transfer;yes;Winter dried mushroom-miso broth;"keep knowledge note concise; mark inventory pressure for next week";
MH-2025-01-0018;2025;2025-01-11 16:54;January;email;B2B account;Cafe Sonnenweg;cafe/brunch;Cafe Sonnenweg: Please keep our usual rhythm this week, 9.0 kg. Same seasonal direction unless forest availability changed.;clear;sleep disruption, need warmth;light digestion;nut allergy;9.0 kg;wood ear, dried porcini;Winter;dried stock buffer + fresh rotation: oyster mushroom, dried porcini, wood ear;medium;fulfilled;no;standing route drop;Köpenick;standing account invoice;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0019;2025;2025-01-04 13:28;January;shared calendar note;B2B account;Cafe Sonnenweg;cafe/brunch;Cafe Sonnenweg: Please keep our usual rhythm this week, 10.2 kg. Same seasonal direction unless forest availability changed.;clear;need warmth, low energy;cooling;no onions;10.2 kg;dried chanterelle;Winter;standing B2B allocation: dried chanterelle, wood ear, dried porcini;medium;rescheduled;no;delivery;Wedding;bank transfer after delivery;new in trial;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0020;2025;2025-01-22 12:26;January;phone note;Private customer;Michael K.;returning customer;Hey, same direction as last time if possible, but more grounding. Quantity: same as last time.;clear;need warmth, quiet;restorative;lactose-free;same as last time;winter support blend, dried chanterelle;Winter;dried stock buffer + fresh rotation: wood ear, oyster mushroom, dried chanterelle;high;fulfilled;no;evening pickup;Schöneberg;bank transfer;yes;Winter dried mushroom-miso broth;repeat client expects continuity;
MH-2025-01-0021;2025;2025-01-19 09:56;January;email;B2B account;Mitte Wellness Hotel;specialty coffee;Please reduce by 20% this week due to bookings/heat, but keep the same mood profile. Baseline noted as 20.1 kg.;mostly clear;low energy, quiet;easy evening food;none stated;20.1 kg;winter support blend, wood ear;Winter;functional blend stock: oyster mushroom, winter support blend, dried porcini;medium;fulfilled;no;delivery;Charlottenburg;invoice end of month;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0022;2025;2025-01-15 06:13;January;email;B2B account;Bistro Neukölln;catering/yoga retreat;Please reduce by 30% this week due to bookings/heat, but keep the same mood profile. Baseline noted as 14.6 kg.;mostly clear;need warmth, quiet;grounding;no onions;14.6 kg;dried chanterelle, oyster mushroom;Winter;dried stock buffer + fresh rotation: winter support blend, oyster mushroom, wood ear;high;partial;yes;standing route drop;delivery route east;standing account invoice;new in trial;Winter dried mushroom-miso broth;"keep knowledge note concise; offer equivalent texture rather than same species";
MH-2025-01-0023;2025;2025-01-13 22:18;January;shared calendar note;B2B account;Bistro Neukölln;specialty coffee;Menu planning: can you hold 12.7 kg around winter support blend profile for next week? Please include substitution options if Polish shipment is late.;clear;need warmth, dark season;easy evening food;vegan;12.7 kg;winter support blend, dried chanterelle;Winter;mature supplier network: wood ear, oyster mushroom, dried porcini;medium;fulfilled;no;delivery;Köpenick;invoice end of month;yes;Winter dried mushroom-miso broth;repeat client expects continuity;
MH-2025-01-0024;2025;2025-01-12 08:26;January;WhatsApp;B2B account;Mitte Wellness Hotel;hotel kitchen;"Standing order confirmation for 30.1 kg. We need delivery before 08:30; chef asks for lighter prep notes for the team.";clear;quiet, sleep disruption;warmth without heaviness;lactose-free;30.1 kg;oyster mushroom;Winter;functional blend stock: dried porcini, wood ear, dried chanterelle;low;fulfilled;no;early delivery;Kreuzberg;standing account invoice;yes;Winter dried mushroom-miso broth;preserve seasonal sentence for receipt;
MH-2025-01-0025;2025;2025-01-17 14:53;January;email;Private customer;repeat customer;event dinner;Short SMS: need a small box box, feeling low energy, sensitive stomach. Can pick up in Friedrichshain.;clear;dark season, low energy;low-stimulation;sensitive stomach;small box;wood ear;Winter;dried stock buffer + fresh rotation: oyster mushroom, dried chanterelle, wood ear;high;substituted;yes;delivery;Friedrichshain;bank transfer;unknown;Winter dried mushroom-miso broth;"profile already in account sheet; offer equivalent texture rather than same species";
MH-2025-01-0026;2025;2025-01-27 08:49;January;WhatsApp;Private customer;Michael K.;weekly private rhythm;Hi Thomas, can I get 0.8 kg for tonight? I feel dark season and need something that does not sit too heavy. vegetarian;clear;dark season, need warmth;easy evening food;vegetarian;0.8 kg;oyster mushroom, winter support blend;Winter;dried stock buffer + fresh rotation: oyster mushroom, dried chanterelle, winter support blend;medium;fulfilled;no;delivery;Schöneberg;cash on pickup;no;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0027;2025;2025-01-18 06:09;January;shared calendar note;Private customer;Jonas K.;mood box;Hi Thomas, can I get small box for this weekend? I feel dark season and need something that does not sit too heavy. mostly plant-based;clear;dark season, need warmth;focus support;mostly plant-based;small box;winter support blend, dried porcini, dried chanterelle;Winter;standing B2B allocation: wood ear, oyster mushroom, winter support blend;medium;rescheduled;no;market handoff;Charlottenburg;cash on pickup;no;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0028;2025;2025-01-01 08:45;January;webshop note;Private customer;Lukas N.;gift order;Hey, same direction as last time if possible, but less strong. Quantity: small box.;clear;low energy, need warmth;cooling;mostly plant-based;small box;wood ear;Winter;standing B2B allocation: dried porcini, oyster mushroom, wood ear;high;fulfilled;yes;evening pickup;Neukölln;transfer within 3 days;unknown;Winter dried mushroom-miso broth;keep knowledge note concise;
MH-2025-01-0029;2025;2025-01-23 14:25;January;WhatsApp;Private customer;Eva L.;returning customer;Hi Thomas, can I get small box for this weekend? I feel sleep disruption and need something that does not sit too heavy. lactose-free;clear;need warmth, quiet;light digestion;lactose-free;small box;winter support blend, oyster mushroom, dried porcini;Winter;standing B2B allocation: wood ear, dried chanterelle, dried porcini;high;fulfilled;no;pickup;Mitte;bank transfer;unknown;Winter dried mushroom-miso broth;keep knowledge note concise;
MH-2025-01-0030;2025;2025-01-22 19:15;January;email;Private customer;Jonas K.;weekly private rhythm;Web note: Mushroom Mood Today — feeling low energy. Please choose from what is actually good this week. Need 1.7 kg.;clear;low energy, need warmth;low-stimulation;nut allergy;1.7 kg;oyster mushroom, wood ear, winter support blend;Winter;Polish shipment + local cultivated stock: winter support blend, dried chanterelle, oyster mushroom;high;substituted;yes;delivery;Neukölln;transfer within 3 days;yes;Winter dried mushroom-miso broth;"watch delivery timing and storage capacity; mark inventory pressure for next week";
MH-2025-01-0031;2025;2025-01-08 09:08;January;standing account email;B2B account;Yoga Retreat Kitchen;cafe/brunch;"Standing order confirmation for 12.2 kg. We need delivery before 11:00; chef asks for lighter prep notes for the team.";needs follow-up;sleep disruption, quiet;restorative;no onions;12.2 kg;wood ear;Winter;dried stock buffer + fresh rotation: dried chanterelle, wood ear, oyster mushroom;medium;fulfilled;no;early delivery;Neukölln;invoice end of month;yes;Winter dried mushroom-miso broth;keep knowledge note concise;
MH-2025-01-0032;2025;2025-01-22 12:43;January;webshop note;B2B account;Friedrichshain Bistro;hotel kitchen;Menu planning: can you hold 10.7 kg around winter support blend profile for next week? Please include substitution options if Polish shipment is late.;clear;low energy, sleep disruption;focus support;none stated;10.7 kg;dried porcini, winter support blend;Winter;mature supplier network: oyster mushroom, dried chanterelle, dried porcini;medium;fulfilled;no;standing route drop;Köpenick;invoice end of month;new in trial;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0033;2025;2025-01-20 15:16;January;shared calendar note;B2B account;Yoga Retreat Kitchen;restaurant;Menu planning: can you hold 29.6 kg around dried chanterelle profile for next week? Please include substitution options if Polish shipment is late.;clear;sleep disruption, dark season;low-stimulation;lactose-free;29.6 kg;oyster mushroom, dried porcini;Winter;Polish shipment + local cultivated stock: dried chanterelle, oyster mushroom, dried porcini;high;fulfilled;no;kitchen drop-off;Wedding;invoice end of month;yes;Winter dried mushroom-miso broth;preserve seasonal sentence for receipt;
MH-2025-01-0034;2025;2025-01-06 09:41;January;webshop note;B2B account;Cafe Sonnenweg;restaurant;Menu planning: can you hold 10.5 kg around winter support blend profile for next week? Please include substitution options if Polish shipment is late.;needs follow-up;dark season, quiet;warmth without heaviness;none stated;10.5 kg;wood ear, dried chanterelle, oyster mushroom;Winter;standing B2B allocation: winter support blend, wood ear, oyster mushroom;medium;fulfilled;no;delivery;Wedding;monthly invoice;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0035;2025;2025-01-16 08:51;January;email;B2B account;Prenzlauer Berg Specialty Cafe;hotel kitchen;Prenzlauer Berg Specialty Cafe: Please keep our usual rhythm this week, 13.7 kg. Same seasonal direction unless forest availability changed.;mostly clear;low energy, quiet;grounding;vegan;13.7 kg;winter support blend, oyster mushroom;Winter;Polish shipment + local cultivated stock: dried porcini, oyster mushroom, dried chanterelle;medium;fulfilled;no;kitchen drop-off;Prenzlauer Berg;standing account invoice;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0036;2025;2025-01-23 12:19;January;shared calendar note;B2B account;Restaurant Pure;specialty coffee;Menu planning: can you hold 24.3 kg around oyster mushroom profile for next week? Please include substitution options if Polish shipment is late.;clear;dark season, need warmth;low-stimulation;vegan;24.3 kg;wood ear;Winter;standing B2B allocation: dried chanterelle, oyster mushroom, dried porcini;medium;fulfilled;no;delivery;Neukölln;bank transfer after delivery;yes;Winter dried mushroom-miso broth;preserve seasonal sentence for receipt;
MH-2025-01-0037;2025;2025-01-30 10:06;January;shared calendar note;Private customer;Lena R.;weekly private rhythm;Web note: Mushroom Mood Today — feeling need warmth. Please choose from what is actually good this week. Need 1.7 kg.;mostly clear;need warmth, quiet;easy evening food;gluten-free;1.7 kg;winter support blend, dried porcini, oyster mushroom;Winter;dried stock buffer + fresh rotation: dried porcini, dried chanterelle, winter support blend;high;partial;yes;route drop;Charlottenburg;paid via webshop;no;Winter dried mushroom-miso broth;"keep knowledge note concise; explain substitution plainly";
MH-2025-01-0038;2025;2025-01-07 15:40;January;webshop note;Private customer;Lena R.;mood box;Short SMS: need a medium box box, feeling low energy, none stated. Can pick up in Friedrichshain.;clear;low energy, sleep disruption;restorative;none stated;medium box;wood ear, dried porcini;Winter;Polish shipment + local cultivated stock: dried porcini, dried chanterelle, winter support blend;high;substituted;yes;market handoff;Prenzlauer Berg;transfer within 3 days;yes;Winter dried mushroom-miso broth;"preserve seasonal sentence for receipt; explain substitution plainly";
MH-2025-01-0039;2025;2025-01-18 14:00;January;email;Private customer;Stefan W.;mood box;Hello, do you have dried chanterelle available? I am cooking for medium box. Can I come by bike?;clear;quiet, low energy;low-stimulation;mostly plant-based;medium box;dried chanterelle, dried porcini;Winter;functional blend stock: wood ear, dried porcini, winter support blend;high;fulfilled;yes;route drop;Prenzlauer Berg;paid via webshop;unknown;Winter dried mushroom-miso broth;repeat client expects continuity;
MH-2025-01-0040;2025;2025-01-04 14:40;January;shared calendar note;B2B account;Cafe Sonnenweg;specialty coffee;Cafe Sonnenweg: Please keep our usual rhythm this week, 10.2 kg. Same seasonal direction unless forest availability changed.;mostly clear;dark season, sleep disruption;focus support;no garlic;10.2 kg;wood ear, dried porcini;Winter;standing B2B allocation: winter support blend, oyster mushroom, dried porcini;medium;fulfilled;no;early delivery;Neukölln;invoice end of month;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0041;2025;2025-01-02 20:59;January;WhatsApp;Unclear / unidentifiable;voice note unclear;unknown;voice note logged: customer unclear, mentioned hotel or dinner, no quantity confirmed;too unclear;need warmth, sleep disruption;grounding;no garlic;not stated;dried chanterelle, wood ear, oyster mushroom;Winter;dried stock buffer + fresh rotation: oyster mushroom, dried porcini, winter support blend;high;logged only;yes;pickup;Schöneberg;not discussed;no;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0042;2025;2025-01-08 07:32;January;email;B2B account;Prenzlauer Berg Specialty Cafe;hotel kitchen;Prenzlauer Berg Specialty Cafe: guest feedback strong on the current mix. Add a short seasonal line for the menu card if possible. Quantity 26.0 kg.;clear;dark season, sleep disruption;grounding;nut allergy;26.0 kg;dried porcini;Winter;functional blend stock: wood ear, dried chanterelle, oyster mushroom;low;fulfilled;no;early delivery;Schöneberg;standing account invoice;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0043;2025;2025-01-19 12:05;January;email;Private customer;unknown sender;mood box;Hi Thomas, can I get small box for Friday? I feel need warmth and need something that does not sit too heavy. vegan;mostly clear;dark season, quiet;warmth without heaviness;vegan;small box;winter support blend, dried porcini;Winter;mature supplier network: dried porcini, wood ear, oyster mushroom;medium;fulfilled;no;delivery;delivery route east;transfer within 3 days;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0044;2025;2025-01-30 17:25;January;webshop note;Private customer;Jonas K.;gift order;Web note: Mushroom Mood Today — feeling dark season. Please choose from what is actually good this week. Need 1.9 kg.;clear;low energy, quiet;easy evening food;no garlic;1.9 kg;dried chanterelle, winter support blend, dried porcini;Winter;mature supplier network: winter support blend, dried porcini, wood ear;high;substituted;yes;evening pickup;delivery route east;transfer within 3 days;unknown;Winter dried mushroom-miso broth;"profile already in account sheet; offer equivalent texture rather than same species";
MH-2025-01-0045;2025;2025-01-15 10:48;January;phone note;B2B account;Cafe Sonnenweg;hotel kitchen;Menu planning: can you hold 5.1 kg around winter support blend profile for next week? Please include substitution options if Polish shipment is late.;needs follow-up;sleep disruption, quiet;cooling;none stated;5.1 kg;winter support blend, dried porcini;Winter;standing B2B allocation: oyster mushroom, winter support blend, dried chanterelle;medium;fulfilled;no;standing route drop;pickup at workshop;bank transfer after delivery;yes;Winter dried mushroom-miso broth;keep knowledge note concise;
MH-2025-01-0046;2025;2025-01-26 08:46;January;shared calendar note;B2B account;Mitte Wellness Hotel;catering/yoga retreat;Mitte Wellness Hotel: guest feedback strong on the current mix. Add a short seasonal line for the menu card if possible. Quantity 12.9 kg.;mostly clear;low energy, sleep disruption;restorative;nut allergy;12.9 kg;winter support blend, dried chanterelle, wood ear;Winter;standing B2B allocation: winter support blend, wood ear, dried chanterelle;high;fulfilled;no;kitchen drop-off;Prenzlauer Berg;standing account invoice;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0047;2025;2025-01-20 20:14;January;email;Private customer;Lena R.;gift order;Short SMS: need a medium box box, feeling dark season, vegetarian. Can pick up in Mitte.;clear;sleep disruption, quiet;grounding;vegetarian;medium box;dried porcini;Winter;functional blend stock: wood ear, dried chanterelle, winter support blend;low;rescheduled;no;evening pickup;pickup at workshop;bank transfer;no;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0048;2025;2025-01-26 22:08;January;email;B2B account;Cafe Sonnenweg;specialty coffee;Menu planning: can you hold 13.7 kg around winter support blend profile for next week? Please include substitution options if Polish shipment is late.;clear;dark season, quiet;easy evening food;sensitive stomach;13.7 kg;wood ear, oyster mushroom;Winter;dried stock buffer + fresh rotation: wood ear, dried porcini, dried chanterelle;high;fulfilled;no;standing route drop;Schöneberg;bank transfer after delivery;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0049;2025;2025-01-01 10:36;January;webshop note;B2B account;Bistro Neukölln;restaurant;Bistro Neukölln: Please keep our usual rhythm this week, 3.6 kg. Same seasonal direction unless forest availability changed.;clear;need warmth, sleep disruption;easy evening food;vegan;3.6 kg;winter support blend, dried chanterelle, dried porcini;Winter;standing B2B allocation: winter support blend, oyster mushroom, wood ear;medium;substituted;yes;delivery;Köpenick;standing account invoice;new in trial;Winter dried mushroom-miso broth;"repeat client expects continuity; mark inventory pressure for next week";
MH-2025-01-0050;2025;2025-01-11 08:03;January;shared calendar note;Private customer;Jonas K.;weekly private rhythm;Hello, do you have dried porcini available? I am cooking for medium box. Please no complicated prep.;clear;low energy, quiet;light digestion;no onions;medium box;winter support blend;Winter;mature supplier network: wood ear, dried porcini, oyster mushroom;medium;fulfilled;no;delivery;Neukölln;cash on pickup;no;Winter dried mushroom-miso broth;preserve seasonal sentence for receipt;
MH-2025-01-0051;2025;2025-01-16 21:28;January;shared calendar note;B2B account;Yoga Retreat Kitchen;restaurant;Yoga Retreat Kitchen: guest feedback strong on the current mix. Add a short seasonal line for the menu card if possible. Quantity 16.4 kg.;clear;quiet, low energy;grounding;none stated;16.4 kg;winter support blend, dried porcini;Winter;functional blend stock: oyster mushroom, dried porcini, wood ear;medium;rescheduled;no;standing route drop;Schöneberg;monthly invoice;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0052;2025;2025-01-31 20:25;January;phone note;Unclear / unidentifiable;voice note unclear;unknown;Hi, mushrooms for weekend, maybe invoice? not sure amount yet;too unclear;low energy, quiet;restorative;vegetarian;small box?;winter support blend, wood ear, oyster mushroom;Winter;Polish shipment + local cultivated stock: dried porcini, wood ear, oyster mushroom;medium;logged only;no;pickup;pickup at workshop;unknown;unknown;Winter dried mushroom-miso broth;repeat client expects continuity;
MH-2025-01-0053;2025;2025-01-06 21:14;January;phone note;B2B account;Catering Kollektiv Ost;restaurant;Menu planning: can you hold 11.0 kg around winter support blend profile for next week? Please include substitution options if Polish shipment is late.;clear;quiet, dark season;focus support;mostly plant-based;11.0 kg;dried chanterelle, oyster mushroom, dried porcini;Winter;functional blend stock: dried chanterelle, dried porcini, wood ear;medium;fulfilled;no;delivery;pickup at workshop;invoice end of month;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0054;2025;2025-01-10 08:34;January;standing account email;B2B account;Workspace Coffee Mitte;restaurant;Workspace Coffee Mitte: Please keep our usual rhythm this week, 19.4 kg. Same seasonal direction unless forest availability changed.;needs follow-up;dark season, low energy;low-stimulation;mostly plant-based;19.4 kg;dried chanterelle, dried porcini, wood ear;Winter;functional blend stock: wood ear, winter support blend, dried porcini;medium;rescheduled;no;delivery;delivery route east;invoice end of month;yes;Winter dried mushroom-miso broth;repeat client expects continuity;
MH-2025-01-0055;2025;2025-01-02 13:16;January;webshop note;B2B account;Cafe Sonnenweg;hotel kitchen;Cafe Sonnenweg: guest feedback strong on the current mix. Add a short seasonal line for the menu card if possible. Quantity 13.4 kg.;clear;dark season, sleep disruption;easy evening food;lactose-free;13.4 kg;oyster mushroom, dried chanterelle, wood ear;Winter;Polish shipment + local cultivated stock: dried porcini, dried chanterelle, winter support blend;high;fulfilled;no;early delivery;Kreuzberg;standing account invoice;yes;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0056;2025;2025-01-24 16:23;January;phone note;B2B account;Mitte Wellness Hotel;catering/yoga retreat;Mitte Wellness Hotel: guest feedback strong on the current mix. Add a short seasonal line for the menu card if possible. Quantity 7.8 kg.;clear;dark season, sleep disruption;light digestion;mostly plant-based;7.8 kg;wood ear, oyster mushroom, winter support blend;Winter;Polish shipment + local cultivated stock: oyster mushroom, dried porcini, winter support blend;medium;fulfilled;no;early delivery;pickup at workshop;monthly invoice;yes;Winter dried mushroom-miso broth;keep knowledge note concise;
MH-2025-01-0057;2025;2025-01-17 08:14;January;WhatsApp;B2B account;Friedrichshain Bistro;cafe/brunch;Menu planning: can you hold 22.7 kg around dried chanterelle profile for next week? Please include substitution options if Polish shipment is late.;clear;dark season, low energy;light digestion;gluten-free;22.7 kg;wood ear, dried porcini;Winter;dried stock buffer + fresh rotation: winter support blend, oyster mushroom, dried porcini;medium;fulfilled;no;kitchen drop-off;Kreuzberg;bank transfer after delivery;new in trial;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0058;2025;2025-01-11 22:23;January;email;Private customer;Michael K.;returning customer;Hey, same direction as last time if possible, but lighter. Quantity: 1.8 kg.;mostly clear;dark season, sleep disruption;warmth without heaviness;no onions;1.8 kg;winter support blend, wood ear, oyster mushroom;Winter;dried stock buffer + fresh rotation: dried porcini, winter support blend, wood ear;medium;fulfilled;no;evening pickup;Charlottenburg;transfer within 3 days;unknown;Winter dried mushroom-miso broth;watch delivery timing and storage capacity;
MH-2025-01-0059;2025;2025-01-31 10:33;January;standing account email;Private customer;Clara M.;weekly private rhythm;Short SMS: need a 1.9 kg box, feeling sleep disruption, vegetarian. Can pick up in Friedrichshain.;needs follow-up;sleep disruption, dark season;cooling;vegetarian;1.9 kg;winter support blend, oyster mushroom;Winter;functional blend stock: oyster mushroom, dried porcini, winter support blend;high;fulfilled;no;route drop;Friedrichshain;cash on pickup;yes;Winter dried mushroom-miso broth;repeat client expects continuity;
MH-2025-01-0060;2025;2025-01-01 22:30;January;shared calendar note;B2B account;Hotel am Stein;catering/yoga retreat;Please reduce by 30% this week due to bookings/heat, but keep the same mood profile. Baseline noted as 10.8 kg.;needs follow-up;sleep disruption, quiet;restorative;sensitive stomach;10.8 kg;dried chanterelle, winter support blend;Winter;Polish shipment + local cultivated stock: winter support blend, dried porcini, dried chanterelle;medium;fulfilled;no;early delivery;pickup at workshop;bank transfer after delivery;yes;Winter dried mushroom-miso broth;profile already in account sheet;
MH-2025-01-0061;2025;2025-01-17 08:56;January;email;Private customer;No name / webshop;returning customer;Hello, do you have oyster mushroom available? I am cooking for 3 portions. Pickup after work possible?;needs follow-up;sleep disruption, low energy;easy evening food;no garlic;3 portions;winter support blend, dried porcini;Winter;Polish shipment + local cultivated stock: oyster mushroom, dried chanterelle, dried porcini;medium;fulfilled;no;route drop;pickup at workshop;paid via webshop;no;Winter dried mushroom-miso broth;keep knowledge note concise;
MH-2025-01-0062;2025;2025-01-22 18:22;January;webshop note;B2B account;Catering Kollektiv Ost;catering/yoga retreat;Catering Kollektiv Ost: guest feedback strong on the current mix. Add a short seasonal line for the menu card if possible. Quantity 26.9 kg.;clear;sleep disruption, dark season;light digestion;no garlic;26.9 kg;dried porcini, wood ear;Winter;functional blend stock: dried porcini, oyster mushroom, wood ear;medium;substituted;yes;standing route drop;Kreuzberg;bank transfer after delivery;yes;Winter dried mushroom-miso broth;"preserve seasonal sentence for receipt; offer equivalent texture rather than same species";
