record_id,date,time,weather,season,clean_message,source_file
316,2015-03-04,18:46,Cloudy evening,Spring,"New yoga teacher writes: planning a small brunch this Sunday after class, needs enough for 6 people. Mostly plant-based participants, one person gluten-free. You offer approx. 2 kg and ask if they can collect Saturday afternoon.",mushroom_Orders_v1.rtf
317,2015-03-05,08:21,Grey sky,Spring,"Webshop ticket: customer asks if same-day orders are possible for a ""Mushroom Mood Today"" box. They want something for dinner, for two, no meat. You inform them that yes, as long as they can pick up after 18:00 today.",mushroom_Orders_v1.rtf
318,2015-03-05,12:35,Light drizzle,Spring,"Email from regular customer: ""Bad sleep week, feel wired."" They ask for a smaller-than-usual box, 1–2 light portions, plant-based. You confirm and mention you'll keep the total amount modest.",mushroom_Orders_v1.rtf
319,2015-03-05,20:02,"Clear, cold",Spring,"SMS from Neukölln cafe: ""Can we add 0.5 kg to Saturday's test order? Bookings increased."" You say that's fine and adjust their total from 1.5 kg to 2 kg in your notes.",mushroom_Orders_v1.rtf
320,2015-03-06,07:05,Overcast,Spring,Restaurant in Friedrichshain sends inquiry: they want to test 3 kg next Friday for a new evening dish. They ask about approximate price range and whether you can issue an invoice. You respond with your standard restaurant pricing and confirm invoicing is possible.,mushroom_Orders_v1.rtf
321,2015-03-06,09:48,Weak sun,Spring,"Webshop order: 4-portion box, note ""mood: hopeful but exhausted"". Customer says they are vegetarian and can pick up tonight after 20:30. You confirm and ask them to bring a backpack as you're low on paper bags.",mushroom_Orders_v1.rtf
322,2015-03-06,15:57,Light rain,Spring,"Quick email from long-term client: ""Any chance for a mini box for tonight, unplanned friends visiting."" They only need enough for 2 small plates and prefer gentler options. You confirm you can spare a small portion if they come before 18:30.",mushroom_Orders_v1.rtf
323,2015-03-07,06:59,"Grey, cool",Spring,"Cafe Sonnenweg messages: ""We're open slightly earlier, can you aim for 8:45 instead of 9:00?"" You reply ""yes, 8:45 ok,"" and remind them this week is 3 kg. They answer with a thumbs-up emoji.",mushroom_Orders_v1.rtf
324,2015-03-07,10:22,Cloudy,Spring,"Webshop customer chooses ""surprise box"", 3 portions, and writes ""no dairy, no eggs, feeling overstimulated."" They ask if Saturday pickup at 18:00 is available. You confirm and allocate inventory accordingly.",mushroom_Orders_v1.rtf
325,2015-03-07,18:37,Clear evening,Spring,Restaurant from Friedrichshain follows up: confirms 3 kg for next Friday and asks to keep varieties flexible. You note their booking in your calendar and request a delivery window between 10:00 and 11:00.,mushroom_Orders_v1.rtf
326,2015-03-08,08:12,Light fog,Spring,Yoga teacher from earlier confirms collection of 2 kg for brunch and asks if you can help carry the crate to their car. You agree and remind them to pay in cash today. They confirm arrival around 9:00.,mushroom_Orders_v1.rtf
327,2015-03-08,12:28,Weak sun,Spring,"Private customer: ""Sunday reset box?"" They ask for two gentle portions for the coming days, plant-based, nothing too stimulating. You respond that you have enough left and offer pickup around 17:30.",mushroom_Orders_v1.rtf
328,2015-03-08,19:51,Overcast,Spring,"New webshop user orders a 1-portion test box, noting that they are very sensitive and want to see how they react. They ask several sourcing questions and if you wash everything already. You answer briefly about handling and confirm pickup tomorrow.",mushroom_Orders_v1.rtf
329,2015-03-09,07:38,Grey clouds,Spring,"Email: ""Can I start a Monday routine?"" Customer suggests a small weekly box every Monday morning to stabilize their week. You reply that morning pickups are possible if they can come before 9:15 and confirm start date next week.",mushroom_Orders_v1.rtf
330,2015-03-09,11:14,Light drizzle,Spring,"Webshop note: ""Mushroom Mood Today – anxious about work week."" They select a 2-portion box and write vegan, no coffee-related items near. You confirm and reserve a box for evening pickup.",mushroom_Orders_v1.rtf
331,2015-03-09,17:06,Overcast,Spring,"SMS from Neukölln cafe: they report yesterday's test special sold out fast and ask if this coming weekend you can go to 3 kg. You agree but mention that forest yield will decide the exact mix, not all varieties guaranteed.",mushroom_Orders_v1.rtf
332,2015-03-10,08:03,Foggy,Spring,"Private customer from January writes: they want to restart with one box every two weeks, always gluten-free and vegetarian. They ask to start this Thursday if you have capacity. You confirm and schedule them as ""Thursday/bi-weekly"".",mushroom_Orders_v1.rtf
333,2015-03-10,10:55,Grey sky,Spring,"Webshop order: 5-portion family box, note ""two adults, two kids, one vegetarian"". They ask you to separate anything very intense into a smaller bag. You agree and note to label bags clearly.",mushroom_Orders_v1.rtf
334,2015-03-10,19:18,"Clear, cold",Spring,Quick message from a hotel in Mitte: they tried your mushrooms at a friend's bistro and want a trial 2 kg box next week Thursday. They ask about typical delivery time and payment terms. You reply that Thursday mornings are possible and payment by bank transfer at month end works.,mushroom_Orders_v1.rtf
335,2015-03-11,07:47,Overcast,Spring,Regular Wednesday customer asks if this week's box can be slightly smaller due to travel. They want just enough for two light meals. You adjust their standing order and confirm pickup time unchanged.,mushroom_Orders_v1.rtf
336,2015-03-11,13:32,Weak sun,Spring,"Webshop user: ""Impulse order, mood shaky."" They choose 2 portions and request ""as simple as possible, please nothing extreme,"" vegetarian. You confirm availability and propose pickup window 19:00–20:00.",mushroom_Orders_v1.rtf
337,2015-03-11,18:59,Light rain,Spring,"Bistro from Friedrichshain sends message: ""Chef liked the sample, can we fix 3 kg every Friday for the next four weeks."" They mention guests reacted well too. You accept and mark the dates as a temporary standing order.",mushroom_Orders_v1.rtf
338,2015-03-12,08:29,Grey clouds,Spring,"Webshop order: 1-portion ""Mushroom Mood Today"" for someone working night shifts. They say they'll pick up at 21:30 and need something easy to manage when tired. You reply that late pickup is fine and ask them to buzz only once.",mushroom_Orders_v1.rtf
339,2015-03-12,11:02,Light drizzle,Spring,"Email from new customer: ""Do you ship outside Berlin?"" They would like a box sent to Hamburg. You explain that at the moment you only do local pickups and deliveries and suggest they visit when in Berlin.",mushroom_Orders_v1.rtf
340,2015-03-12,16:16,Overcast,Spring,"Neukölln cafe confirms their 3 kg request for the weekend and asks you to keep the flavors softer for brunch crowds. You agree and tag their order as ""mild"".",mushroom_Orders_v1.rtf
341,2015-03-13,06:58,Foggy,Spring,Hotel in Mitte confirms next Thursday's 2 kg trial and sends their loading bay instructions. They request delivery before 10:00 due to kitchen prep. You acknowledge and save the access details.,mushroom_Orders_v1.rtf
342,2015-03-13,09:44,Weak sun,Spring,"Webshop customer books a 3-portion box, writing ""I feel numb and tired, please something stabilizing."" They indicate vegan and gluten-free preferences. You confirm and reserve stock accordingly.",mushroom_Orders_v1.rtf
343,2015-03-13,17:38,Cloudy,Spring,Private customer asks via SMS if they can convert tonight's planned pickup into tomorrow morning as they're stuck at work. You say that's okay and warn that one variety might be slightly less fresh but still fine. They accept.,mushroom_Orders_v1.rtf
344,2015-03-14,08:11,Grey sky,Spring,"Cafe Sonnenweg confirms receiving the 3 kg delivery and notes that one variety was particularly popular. They ask if you can include a bit more of that next week if available. You reply you'll try, depending on forest conditions.",mushroom_Orders_v1.rtf
345,2015-03-14,10:47,Weak sun,Spring,"Webshop order: ""Mood today: calm, want to keep it that way."" Two portions, vegetarian, pickup late afternoon. You confirm and send a short note that 17:30–18:30 is best.",mushroom_Orders_v1.rtf
346,2015-03-14,19:26,"Clear, cold",Spring,SMS from bistro: they sold more than expected and ask if there is any chance for an extra 1 kg top-up for Sunday lunch. You reply that this weekend stock is fully allocated and propose scheduling an increased amount next Friday instead.,mushroom_Orders_v1.rtf
347,2015-03-15,09:05,Light fog,Spring,"Private regular writes: ""Sunday check-in box please, same size as last week."" They mention feeling slightly more rested and want to keep the supportive rhythm. You agree and set aside a similar portion.",mushroom_Orders_v1.rtf
348,2015-03-15,12:58,Cloudy,Spring,"New customer at yoga studio hears about you and emails for a one-off order next weekend, 2–3 portions, mostly plant-based. They ask what info you need from them. You answer: mood, basic dietary notes, and preferred pickup day.",mushroom_Orders_v1.rtf
349,2015-03-15,18:32,Overcast,Spring,"Webshop tiny order: 1 portion, ""just to try, no onions, no dairy."" Pickup requested Monday evening. You accept and mark it as ""test customer"".",mushroom_Orders_v1.rtf
350,2015-03-16,07:53,Grey clouds,Spring,"Customer starting Monday routine appears for first pickup and afterward emails a quick thank-you, asking to keep roughly the same quantity next week. You record that the rhythm is confirmed. No adjustments requested.",mushroom_Orders_v1.rtf
351,2015-03-16,11:39,Light drizzle,Spring,"Webshop user: ""Mushroom Mood Today – nervous, heavy head."" They choose 3 portions, all vegetarian. You confirm evening pickup and mention that Wednesday might be a better day if they prefer less Monday pressure, leaving choice open.",mushroom_Orders_v1.rtf
352,2015-03-16,17:11,Overcast,Spring,Neukölln cafe asks if you can send a simple printed label with your name for their counter. They also confirm 3 kg again for next weekend. You say you'll bring a small info card with the next delivery.,mushroom_Orders_v1.rtf
353,2015-03-17,08:06,Foggy,Spring,"Private customer writes: ""Need something gentle, no big group, just me this week."" They request only one small portion instead of their usual two. You adjust the standing order for this round.",mushroom_Orders_v1.rtf
354,2015-03-17,10:52,Grey sky,Spring,"Webshop order: 4-portions family box, note: ""kids are curious but picky, please keep it not too strange."" They prefer vegetarian. You confirm and promise a straightforward mix.",mushroom_Orders_v1.rtf
355,2015-03-17,19:37,"Clear, cold",Spring,"Bistro asks if next Friday's 3 kg can be shifted to 2.5 kg due to fewer bookings. You agree and modify the order sheet, marking the remaining 0.5 kg for private customers.",mushroom_Orders_v1.rtf
356,2015-03-18,07:42,Overcast,Spring,"Regular Wednesday client confirms they still want their weekly box but slightly heavier this time due to visitors. They request ""same style, just more"". You increase their allocation by one portion.",mushroom_Orders_v1.rtf
357,2015-03-18,12:21,Weak sun,Spring,"Webshop user: ""First time here, read about you via a friend."" They want a 2-portion box and mention being vegan with a sensitive gut. You confirm, suggest evening pickup, and ask them to text you if they can't make it.",mushroom_Orders_v1.rtf
358,2015-03-18,18:58,Light rain,Spring,Hotel in Mitte asks if you can also provide a simple weekly email stating what's coming in Thursday's box. You answer yes and agree to send a short list by Wednesday evening each week.,mushroom_Orders_v1.rtf
359,2015-03-19,08:17,Grey clouds,Spring,"Webshop mini order: 1 portion, ""I just want something simple after a long day."" Pickup planned for tonight at 20:00. You accept and make a note not to overload the box.",mushroom_Orders_v1.rtf
360,2015-03-19,11:03,Overcast,Spring,Email from new cafe: they are considering a collaboration for weekend brunch in April and want to know minimum quantities. You reply that 1.5–2 kg per weekend is your usual minimum for B2B and suggest a trial in early April.,mushroom_Orders_v1.rtf
361,2015-03-19,16:44,Weak sun,Spring,"Bistro confirms tomorrow's 2.5 kg and asks if you can label one crate ""lunchtime"" and the other ""evening"". You agree and prepare two separate containers.",mushroom_Orders_v1.rtf
362,2015-03-20,07:02,Misty,Spring,"Private customer from yoga studio sends first detailed ""mood"" email: stressed, low appetite, wants very small portions. You decide to prepare a compact box with fewer total grams and confirm pickup Saturday.",mushroom_Orders_v1.rtf
363,2015-03-20,09:51,Grey sky,Spring,"Webshop: 3-portion box, ""mood: nervous before travel"". Vegetarian, pickup tonight. You confirm and mention they can freeze leftovers if too much, but keep explanation brief.",mushroom_Orders_v1.rtf
364,2015-03-20,18:29,Clear evening,Spring,"Neukölln cafe writes that they sold out again and consider raising their standing order in April. You suggest waiting one more weekend to see if the pattern holds, then adjusting.",mushroom_Orders_v1.rtf
365,2015-03-21,08:24,Overcast,Spring,Cafe Sonnenweg confirms 3 kg delivery and asks for invoice details for March. You promise to send a simple monthly summary next week. They also mention guest feedback is positive.,mushroom_Orders_v1.rtf
366,2015-03-21,11:47,Weak sun,Spring,"Webshop order: family of three, 3 portions, plant-based. Note says ""no strong bitterness please"". You confirm and choose milder available options.",mushroom_Orders_v1.rtf
367,2015-03-21,19:03,"Clear, cold",Spring,"Private customer messages: ""Can we add a spontaneous small box for tomorrow if you still have something left?"" You check inventory and confirm a last mini box, requesting pickup before noon.",mushroom_Orders_v1.rtf
368,2015-03-22,09:11,Light fog,Spring,Yoga teacher picks up ordered box and later emails asking if for the next event you can slightly increase variety but keep overall quantity similar. You record the preference and agree.,mushroom_Orders_v1.rtf
369,2015-03-22,13:18,Cloudy,Spring,"Webshop user: ""Mood today: heavy, but want gentle support."" They choose a 2-portion box, vegan, pickup Monday. You confirm and put it in the Monday queue.",mushroom_Orders_v1.rtf
370,2015-03-22,18:54,Overcast,Spring,Restaurant in Friedrichshain asks if on the last Friday of March they can get 4 kg instead of 2.5 kg for a special event. You say you'll aim for 4 kg but warn that strong rain might limit yield slightly.,mushroom_Orders_v1.rtf
371,2015-03-23,07:49,Grey clouds,Spring,Monday routine customer confirms that last week's quantity was good and asks to keep it stable. They propose paying monthly to reduce transfers. You agree to monthly invoicing starting April.,mushroom_Orders_v1.rtf
372,2015-03-23,11:26,Light drizzle,Spring,"Webshop mini test order: 1 portion, ""curious, no specific mood request"". They are vegan and can pick up at 20:00. You confirm and mark it as a new client.",mushroom_Orders_v1.rtf
373,2015-03-23,17:33,Weak sun,Spring,Neukölln cafe confirms they want 3.5 kg next weekend due to planned promotion. You update their standing order for that date and mention you'll revert to 3 kg afterward unless they say otherwise.,mushroom_Orders_v1.rtf
374,2015-03-24,08:02,Foggy,Spring,"Private customer asks if you can add a handwritten reminder on the bag ""for evening use"" so they don't forget. You say you'll write a simple note and confirm pickup as usual.",mushroom_Orders_v1.rtf
375,2015-03-24,10:49,Grey sky,Spring,"Webshop user: 4-portion box, ""family visiting, two vegetarians, one omnivore, keep it inclusive."" They ask if they can split payment between two people. You respond that's fine as long as it's done via one transfer reference.",mushroom_Orders_v1.rtf
376,2015-03-24,19:41,"Clear, cold",Spring,Hotel in Mitte confirms Thursday's 2 kg and asks for slightly more of the variety that worked well last week. You reply that you'll adjust proportion accordingly if harvest allows.,mushroom_Orders_v1.rtf
377,2015-03-25,07:45,Overcast,Spring,"Regular Wednesday customer shortens their note: ""same as last week, no change."" You prepare the usual amount without further questions. Pickup time remains 19:00.",mushroom_Orders_v1.rtf
378,2015-03-25,12:17,Weak sun,Spring,"Webshop new customer: ""Therapist told me about your service."" They request a small starter box, 2 portions, vegan, and say they'll describe mood in more detail after trying. You confirm tonight pickup.",mushroom_Orders_v1.rtf
379,2015-03-25,18:40,Light rain,Spring,Bistro confirms they are happy with Friday deliveries so far and want to extend the 3 kg arrangement into April. You agree and block the next four Fridays for them.,mushroom_Orders_v1.rtf
380,2015-03-26,08:14,Grey clouds,Spring,"Webshop order: ""Mushroom Mood Today – restless, can't focus."" They choose 2 portions and mention dairy-free. You confirm and ask if they prefer pickup today or tomorrow.",mushroom_Orders_v1.rtf
381,2015-03-26,11:31,Overcast,Spring,"New cafe from Prenzlauer Berg calls and follows up by email: wants trial 1.5 kg in early April. They ask if you can deliver before 9:00 and if there is a minimum contract. You respond that no contract is needed, just clear communication.",mushroom_Orders_v1.rtf
382,2015-03-26,16:57,Weak sun,Spring,"Hotel in Mitte reconfirms tomorrow's 2 kg, asks for a printed delivery note with your address for their records. You agree and print a simple note.",mushroom_Orders_v1.rtf
383,2015-03-27,07:01,Foggy,Spring,"Private customer: ""Short week ahead, smaller box please."" They ask for half their usual quantity. You adjust and confirm new total.",mushroom_Orders_v1.rtf
384,2015-03-27,09:43,Grey sky,Spring,"Webshop user: 3-portion box, mood ""nervous before big meeting"". Vegan, pickup tonight. You reserve stock and send short confirmation.",mushroom_Orders_v1.rtf
385,2015-03-27,18:22,"Clear, cold",Spring,"Bistro receives delivery and texts that everything arrived fine but they'd like slightly smaller sizes next time for plate aesthetics. You note ""smaller pieces"" in their profile.",mushroom_Orders_v1.rtf
386,2015-03-28,08:19,Overcast,Spring,"Cafe Sonnenweg: ""3 kg received, all good."" They mention one variety didn't sell as fast and ask you to reduce that in the next mix. You agree and ask for feedback again after two weeks.",mushroom_Orders_v1.rtf
387,2015-03-28,11:36,Weak sun,Spring,"Webshop order: 2-portion box, ""weekend, want to stay calm for Monday."" They mark lactose-free and gluten-free. You confirm pickup for 18:00.",mushroom_Orders_v1.rtf
388,2015-03-28,19:17,"Clear, cold",Spring,"Neukölln cafe says their brunch special sold out early and they want to keep the new 3.5 kg level for all April weekends. You log the change and reply ""ok, set for April"".",mushroom_Orders_v1.rtf
389,2015-03-29,09:27,Light fog,Spring,"Private customer: ""Sunday grounding box?"" They ask for a small portion for tonight only, vegan. You check remaining stock and confirm you can put together one last box.",mushroom_Orders_v1.rtf
390,2015-03-29,13:02,Cloudy,Spring,"Webshop test order: 1 portion, ""for one, no onions, no garlic, early Monday pickup"". You accept and schedule pickup for 08:30 Monday.",mushroom_Orders_v1.rtf
391,2015-03-29,18:46,Overcast,Spring,Yoga teacher sends dates for next month's post-class brunch and asks you to pencil in approximate quantities. You respond with a rough estimate per date and ask to confirm numbers 5 days before each.,mushroom_Orders_v1.rtf
392,2015-03-30,07:56,Grey clouds,Spring,Monday routine customer picks up and later writes that current quantity still feels right. They ask if you can send one reminder email Sunday evening so they don't forget. You say you'll add a short reminder to your calendar.,mushroom_Orders_v1.rtf
393,2015-03-30,11:22,Light drizzle,Spring,"Webshop user: 3-portion box, ""mood: heavy, want gentle support this week."" They indicate vegan, pickup today or tomorrow. You suggest today between 19:00–20:00 and they agree.",mushroom_Orders_v1.rtf
394,2015-03-30,17:19,Weak sun,Spring,Hotel in Mitte checks if you can increase this week's delivery by 0.5 kg due to a small group booking. You confirm you can add a bit more and adjust the crate weights.,mushroom_Orders_v1.rtf
395,2015-03-31,08:10,Overcast,Spring,"Regular Wednesday client writes they'll be away and want to skip this week's box, resuming next Wednesday. You confirm cancellation and free up that allocation.",mushroom_Orders_v1.rtf
396,2015-03-31,12:53,Weak sun,Spring,"Webshop order: 2 portions, mood ""stressed but functional"". They mention no gluten, no dairy, pickup after 20:00. You accept and leave the box near the entrance with clear labeling in case of late arrival.",mushroom_Orders_v1.rtf
397,2015-03-31,19:03,"Clear, cold",Spring,"Bistro confirms they want to keep their Friday deliveries at 3 kg through April, not 4 kg, after reviewing reservations. You adjust the numbers and reply ""ok, 3 kg fixed for April"".",mushroom_Orders_v1.rtf
398,2015-04-01,08:05,Grey clouds,Spring,"Private customer writes: ""Starting April, can we do every second Wednesday only, my schedule is tight."" They want same box size, just less often. You update their recurring pattern.",mushroom_Orders_v1.rtf
399,2015-04-01,11:43,Light rain,Spring,"Webshop: 3-portion box, note ""first day at new job, want some stabilizing food for evenings."" Vegetarian, pickup tonight. You confirm and block inventory.",mushroom_Orders_v1.rtf
400,2015-04-01,18:15,Overcast,Spring,New cafe in Prenzlauer Berg confirms their trial 1.5 kg for Saturday and sends address and entry instructions. You log the route and ask for their opening time.,mushroom_Orders_v1.rtf
401,2015-04-02,07:58,Foggy,Spring,"Webshop 1-portion order: ""curious micro-dose of your service, so to speak."" Vegan, pickup after 19:00. You acknowledge and tag as ""micro test"".",mushroom_Orders_v1.rtf
402,2015-04-02,10:39,Grey sky,Spring,Hotel in Mitte asks if you can keep their 2 kg steady through April and warns that one week they may need a last-minute cut if occupancy drops. You agree and ask for at least 24 hours notice.,mushroom_Orders_v1.rtf
403,2015-04-02,17:12,Weak sun,Spring,"Neukölln cafe sends message: ""First April weekend, 3.5 kg confirmed, please a bit more of the brunch-friendly mix."" You confirm and note ""brunch focus"" for this date.",mushroom_Orders_v1.rtf
404,2015-04-03,07:06,Overcast,Spring,"Webshop user: 2-portion box, ""mood: hopeful, but tired after a long week."" Vegetarian. They request pickup at 20:30. You agree and add them to tonight's pickup list.",mushroom_Orders_v1.rtf
405,2015-04-03,11:51,Light drizzle,Spring,Bistro asks if you can deliver 30 minutes earlier today due to a team meeting. You check your schedule and agree to shift from 10:30 to 10:00. They confirm.,mushroom_Orders_v1.rtf
406,2015-04-03,18:23,"Clear, cold",Spring,Private customer requests a quick small box for Sunday and asks if they can pay together with their next order. You accept and note the amount to the next invoice.,mushroom_Orders_v1.rtf
407,2015-04-04,08:13,Grey clouds,Spring,Cafe Sonnenweg acknowledges receiving 3 kg and mentions Saturday bookings look strong. They ask if you can keep the same for next weekend. You answer yes and confirm date.,mushroom_Orders_v1.rtf
408,2015-04-04,11:42,Weak sun,Spring,Prenzlauer Berg cafe trial delivery: they write that 1.5 kg arrived on time and looks good. They say they'll see how it sells and get back about a standing order. You reply wishing them a good weekend and ask for brief feedback Monday.,mushroom_Orders_v1.rtf
409,2015-04-04,19:37,"Clear, cold",Spring,"Webshop order: 2-portion box, ""holiday weekend, want something gentle for two evenings."" Vegan, pickup Sunday afternoon. You confirm and schedule for tomorrow.",mushroom_Orders_v1.rtf
410,2015-04-05,09:21,Light fog,Spring,"Private customer: ""Easter Sunday support box please."" They want a small box for two people, plant-based, no onions. You respond that you can provide a compact box if they pick up before 13:00.",mushroom_Orders_v1.rtf
411,2015-04-05,13:06,Cloudy,Spring,"Webshop mini order: 1 portion, ""just something small to not skip dinner."" Pickup later tonight. You accept and note to keep portion size modest.",mushroom_Orders_v1.rtf
412,2015-04-05,18:50,Overcast,Spring,"Yoga teacher confirms next weekend's brunch and requests about 2.5 kg, as more participants are registered. You agree but flag that you'll confirm final weight on Friday depending on harvest.",mushroom_Orders_v1.rtf
413,2015-04-06,08:01,Grey clouds,Spring,"Monday routine customer sends quick note: they'll be 20 minutes late but still coming. You answer ""ok, I'll be here"" and keep their box in the fridge until arrival.",mushroom_Orders_v1.rtf
414,2015-04-06,11:28,Light drizzle,Spring,"Webshop user: 3-portion box, mood ""nervous, trying to stabilize week."" They indicate vegan, pickup tonight after 19:00. You confirm and send your address details again.",mushroom_Orders_v1.rtf
415,2015-04-06,17:39,Weak sun,Spring,"Hotel in Mitte asks if you can test adding a small separate bag labeled ""staff"" from this week, using leftover bits they can use for staff meal. You agree to try, as long as quantities permit.",mushroom_Orders_v1.rtf
416,2015-04-07,07:54,Foggy,Spring,Private customer from bi-weekly Thursday writes that they'd like to move to Tuesdays instead. You respond that Tuesday works if they can pick up after 19:00. They confirm.,mushroom_Orders_v1.rtf
417,2015-04-07,11:17,Grey sky,Spring,"Webshop 4-portion order, ""friends visiting midweek, two vegans, one omnivore."" They ask to avoid very strong bitterness. You confirm and mark Wednesday pickup.",mushroom_Orders_v1.rtf
418,2015-04-07,19:29,"Clear, cold",Spring,Bistro checks if they can get a small extra 0.5 kg this Friday only due to a group booking. You reply that you can stretch to 3.5 kg and adjust the plan.,mushroom_Orders_v1.rtf
419,2015-04-08,08:09,Overcast,Spring,"Reduced-frequency Wednesday customer confirms they are skipping this week and will return next. You mark ""skip"" on calendar and free up 2 portions.",mushroom_Orders_v1.rtf
420,2015-04-08,12:33,Weak sun,Spring,"Webshop user: 2-portion box, mood ""tired but stable, want low effort evenings."" Vegetarian. Pickup tonight around 20:00. You acknowledge and prepare.",mushroom_Orders_v1.rtf
421,2015-04-08,18:52,Light rain,Spring,Prenzlauer Berg cafe reports their first trial went well and wants to schedule 1.5 kg every Saturday for the rest of April. You confirm and integrate them into your Saturday route.,mushroom_Orders_v1.rtf
422,2015-04-09,07:59,Grey clouds,Spring,"Webshop small order: 1 portion, ""I'm low appetite, just something very small."" Vegan, pickup tonight. You agree and plan a mini-box.",mushroom_Orders_v1.rtf
423,2015-04-09,11:36,Overcast,Spring,Hotel in Mitte confirms today's 2 kg and asks if you can ring the side entrance bell instead of main door due to construction. You note the change and confirm.,mushroom_Orders_v1.rtf
424,2015-04-09,16:55,Weak sun,Spring,"Neukölln cafe clarifies that they'd prefer slightly more variety in their brunch mix, same total weight. You respond that you'll spread varieties more evenly from this weekend onward.",mushroom_Orders_v1.rtf
425,2015-04-10,07:03,Foggy,Spring,"Webshop: 3-portion box, ""mood: anxious, want some routine for weekend."" Vegetarian, pickup tonight. You confirm time window 19:00–20:00.",mushroom_Orders_v1.rtf
426,2015-04-10,10:51,Grey sky,Spring,Bistro receives 3.5 kg and later writes that quantity was perfect for the event. They ask to go back to 3 kg next week. You adjust the standing order.,mushroom_Orders_v1.rtf
427,2015-04-10,18:18,"Clear, cold",Spring,"Private customer asks if you still have capacity for a very small box for Sunday, one person, plant-based. You check your list and confirm you can add one micro order.",mushroom_Orders_v1.rtf
428,2015-04-11,08:16,Overcast,Spring,"Cafe Sonnenweg: ""3 kg arrived, everything fine."" They ask if you can email them a simple description of your service for their team. You promise to send a short text early next week.",mushroom_Orders_v1.rtf
429,2015-04-11,11:39,Weak sun,Spring,Prenzlauer Berg cafe confirms their 1.5 kg looks good and asks if next week they can test 2 kg. You say yes and update the order size for next Saturday.,mushroom_Orders_v1.rtf
430,2015-04-11,19:12,"Clear, cold",Spring,"Webshop 2-portion order, ""quiet weekend, need gentle support, vegetarian."" Pickup Sunday evening. You reserve stock and note ""Sunday 19:00"".",mushroom_Orders_v1.rtf
431,2015-04-12,09:18,Light fog,Spring,Yoga teacher picks up about 2.5 kg and texts that next time they might need slightly more if sign-ups continue rising. You suggest they send you numbers at least a week in advance. They agree.,mushroom_Orders_v1.rtf
432,2015-04-12,13:04,Cloudy,Spring,"Webshop mini order: 1 portion, ""for tonight only, low energy."" Vegan. You confirm immediate preparation and ask them to come by 18:00.",mushroom_Orders_v1.rtf
433,2015-04-12,18:48,Overcast,Spring,"Private regular writes: ""Can we schedule a fixed Sunday box every two weeks until June?"" They want a medium size, plant-based, low stimulation. You agree and set repeating events.",mushroom_Orders_v1.rtf
434,2015-04-13,08:07,Grey clouds,Spring,"Monday routine customer continues unchanged, quick message: ""same as last week, thank you."" You prepare the box and note that the rhythm is holding.",mushroom_Orders_v1.rtf
435,2015-04-13,11:30,Light drizzle,Spring,"Webshop 3-portion box, mood ""overwhelmed, want to stabilize evenings."" Vegan, pickup tonight. You confirm and reply with a short, practical message.",mushroom_Orders_v1.rtf
436,2015-04-13,17:42,Weak sun,Spring,Hotel in Mitte asks if this week's delivery can come 30 minutes later due to kitchen repairs. You adjust to 10:30 and send confirmation.,mushroom_Orders_v1.rtf
437,2015-04-14,07:51,Foggy,Spring,"Bi-weekly Tuesday customer confirms they are coming tonight, same quantity as before. You prepare their box and leave it by the entrance.",mushroom_Orders_v1.rtf
438,2015-04-14,11:24,Grey sky,Spring,"Webshop: 4-portion family box, ""two adults, one teenager, one child, mostly vegetarian."" They ask to keep things not too extreme. You confirm Wednesday pickup.",mushroom_Orders_v1.rtf
439,2015-04-14,19:33,"Clear, cold",Spring,"Bistro messages: ""No change for this Friday, 3 kg fine."" They add a quick note that one variety last week was very popular, asking for more of that if possible. You mark it in their profile.",mushroom_Orders_v1.rtf
440,2015-04-15,08:03,Overcast,Spring,Reduced-frequency Wednesday customer says they'll resume next week but keep the new 2-week rhythm. You update the calendar and remove any confusion.,mushroom_Orders_v1.rtf
441,2015-04-15,12:44,Weak sun,Spring,"Webshop 2-portion order, ""mood: exhausted, can't think about food planning."" Vegetarian, pickup tonight. You confirm and tag it as ""low bandwidth"".",mushroom_Orders_v1.rtf
442,2015-04-15,18:39,Light rain,Spring,Prenzlauer Berg cafe sends quick feedback: 2 kg sold well but they prefer slightly earlier delivery window to prep. You promise to aim for 8:15–8:30 next Saturday instead of 8:45.,mushroom_Orders_v1.rtf
443,2015-04-16,07:57,Grey clouds,Spring,"Webshop mini order: 1 portion, ""just me this weekend, need minimal effort."" Vegan, pickup Friday. You agree and schedule preparation for tomorrow.",mushroom_Orders_v1.rtf
444,2015-04-16,11:19,Overcast,Spring,Hotel in Mitte confirms 2 kg again and says next week they may add 0.5 kg for a group booking. You note potential increase and ask them to confirm by Monday.,mushroom_Orders_v1.rtf
445,2015-04-16,16:51,Weak sun,Spring,"Neukölln cafe reconfirms 3.5 kg for weekend and asks for one smaller crate plus one bigger, easier for storage. You agree and pack accordingly.",mushroom_Orders_v1.rtf
446,2015-04-17,07:04,Foggy,Spring,"Webshop: 3-portion box, ""weekend ahead, want something steady, vegetarian."" Pickup tonight between 19:00–20:00. You confirm.",mushroom_Orders_v1.rtf
447,2015-04-17,10:56,Grey sky,Spring,"Bistro reports that their Friday special is now mentioned in a local blog, expecting more guests next week. They ask if you could consider 3.5 kg again soon. You say you'll aim for it if yield allows.",mushroom_Orders_v1.rtf
